Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
¾ç¼®È¯,µÎ,1B,3.1,133,546,488,66,133,22,0,28,239,96,42,9,2,136,10,0,7,0.273,0.337,0.49,0.827,0.373,130.3,1.93,0.217,0.064,5.86,0.386,20.1,-0.6,-9.3,-10,17.1,0.01025641,19.5,39.6,6.25,2,3,-1,-1.3,2.2
¾çÀÇÁö,N,DH,5.74,141,570,480,81,156,29,2,30,279,111,69,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.443,165.4,5.64,0.256,0.089,9.15,0.439,45.6,-0.2,-9.6,-9.8,44,0.037190083,21.1,32.2,6.67,2,1,-0.2,-1.2,3
¿¹Áø¿ø,Å°,CF,-0.75,52,132,114,16,18,6,1,1,29,8,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,0.24,32.5,-1.33,0.097,0.09,1.4,0.239,-11,3.1,-0.5,2.5,-9.2,0.043478261,32.6,38.5,7.69,0,1,-0.5,-0.8,5
¿ÀÀ±¼®,·Ô,2B,0.8,98,198,164,23,40,11,0,4,63,16,27,2,1,47,4,5,0,0.244,0.358,0.384,0.742,0.343,99.2,-1.6,0.14,0.114,5,0.34,-0.3,0.6,-1,-0.4,1.4,0.050632911,24.1,40.5,2.38,4,0,0.7,0.3,3.4
¿ÀÀç¿ø,µÎ,2B,-0.43,45,79,72,6,12,3,0,0,15,5,6,0,0,18,3,0,1,0.167,0.228,0.208,0.436,0.216,17.9,-0.64,0.042,0.061,0.69,0.217,-8,-1.2,-0.2,-1.3,-8.6,0,23.1,25,0,2,0,0.4,0.2,3
¿ÀÀçÀÏ,»ï,1B,2.8,120,484,418,64,119,20,0,25,214,97,58,0,8,106,5,0,8,0.285,0.366,0.512,0.878,0.39,129.2,3.43,0.227,0.081,6.84,0.385,17.2,2.5,-8.6,-6.1,19.1,0.03626943,20.2,28,2.8,1,0,0.1,-0.7,2.7
¿ÀÁØÇõ,S,DH,0,26,50,46,7,10,2,0,2,18,5,4,0,0,15,2,0,0,0.217,0.28,0.391,0.671,0.309,76.5,-0.18,0.174,0.063,3.46,0.305,-1.5,-0.2,-0.9,-1.1,-1.4,0,25,33.3,0,0,0,0,0.3,1.7
¿ÀÁöÈ¯,L,SS,2.33,134,532,464,62,118,19,2,8,165,57,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,0.327,93.9,-0.53,0.101,0.081,4.31,0.332,-4.2,13.5,5.3,18.8,9.3,0.035532995,27.4,51.4,5.51,12,6,-0.4,0.4,4.4
¿ÀÅÂ°ï,S,1B,0.81,122,253,235,47,63,10,0,9,100,35,14,2,0,52,4,1,1,0.268,0.314,0.426,0.739,0.339,97,-0.33,0.157,0.045,4.56,0.336,-1,4.3,-3.6,0.7,5.4,0.017699115,33.6,53.5,0,9,4,0,2.2,5.1
À¯°­³²,L,C,2.2,130,441,397,39,100,16,0,11,149,60,25,14,1,75,11,3,2,0.252,0.317,0.375,0.693,0.323,93.3,-0.94,0.123,0.065,4.13,0.331,-3.8,-0.6,8.3,7.6,-5.3,0.012820513,18,33.3,2.67,2,0,0.3,-1.2,2.3
